ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate,Year,Month,Month Name,Qtr,YearMonth,Day of Week,Day Name,FinancialMonth,FinancialQuarter,CalculatedSalesAmount,CalculatedProductionCost,Profit,ProductName,CustomerName,Region,Country
480,20121230,20130111,20130106,11449,1,6,9,SO51217,4,1,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,2.29,0.8565,1.4335,Patch Kit/8 Patches,Alvin E Hu,Australia,Australia
528,20121230,20130111,20130106,11449,1,6,9,SO51217,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,4.99,1.8663,3.1237,Mountain Tire Tube,Alvin E Hu,Australia,Australia
351,20110619,20110701,20110626,11449,1,6,9,SO44956,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-06-19,2011-07-01,2011-06-26,2011,6,June,2,2011-Jun,1,Sunday,3,FQ1,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 48",Alvin E Hu,Australia,Australia
359,20121231,20130112,20130107,11002,1,6,9,SO51238,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,2294.99,1251.9813,1043.0087,"Mountain-200 Black, 38",Ruben  Torres,Australia,Australia
346,20110107,20110119,20110114,11002,1,6,9,SO43736,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-07,2011-01-19,2011-01-14,2011,1,January,1,2011-Jan,6,Friday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 44",Ruben  Torres,Australia,Australia
353,20121228,20130109,20130104,11245,2,100,8,SO51178,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 38",Ricky D Vazquez,Germany,Germany
477,20121228,20130109,20130104,11245,1,100,8,SO51178,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,4.99,1.8663,3.1237,Water Bottle - 30 oz.,Ricky D Vazquez,Germany,Germany
478,20121228,20130109,20130104,11245,1,100,8,SO51178,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,9.99,3.7363,6.2537,Mountain Bottle Cage,Ricky D Vazquez,Germany,Germany
350,20110926,20111008,20111003,11245,1,100,8,SO45765,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-09-26,2011-10-08,2011-10-03,2011,9,September,3,2011-Sep,2,Monday,6,FQ2,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 44",Ricky D Vazquez,Germany,Germany
346,20101229,20110110,20110105,11003,1,6,9,SO43701,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-29,2011-01-10,2011-01-05,2010,12,December,4,2010-Dec,4,Wednesday,9,FQ3,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 44",Christy  Zhu,Australia,Australia
353,20121228,20130109,20130104,11263,1,100,1,SO51184,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 38",Trinity  Richardson,Northwest,United States
537,20121228,20130109,20130104,11263,1,100,1,SO51184,2,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,35,13.09,21.91,HL Mountain Tire,Trinity  Richardson,Northwest,United States
222,20121228,20130109,20130104,11263,1,100,1,SO51184,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,34.99,13.0863,21.9037,"Sport-100 Helmet, Blue",Trinity  Richardson,Northwest,United States
528,20121228,20130109,20130104,11263,1,100,1,SO51184,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,4.99,1.8663,3.1237,Mountain Tire Tube,Trinity  Richardson,Northwest,United States
313,20110829,20110910,20110905,11263,1,100,1,SO45581,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-08-29,2011-09-10,2011-09-05,2011,8,August,3,2011-Aug,2,Monday,5,FQ2,3578.27,2171.2942,1406.9758,"Road-150 Red, 52",Trinity  Richardson,Northwest,United States
345,20110123,20110204,20110130,11004,1,6,9,SO43810,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-23,2011-02-04,2011-01-30,2011,1,January,1,2011-Jan,1,Sunday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 42",Elizabeth  Johnson,Australia,Australia
351,20101230,20110111,20110106,11005,1,6,9,SO43704,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2010-12-30,2011-01-11,2011-01-06,2010,12,December,4,2010-Dec,5,Thursday,9,FQ3,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 48",Julio  Ruiz,Australia,Australia
537,20121230,20130111,20130106,11108,1,6,9,SO51215,2,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,35,13.09,21.91,HL Mountain Tire,Kari C Alvarez,Australia,Australia
361,20121230,20130111,20130106,11108,1,6,9,SO51215,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,2294.99,1251.9813,1043.0087,"Mountain-200 Black, 42",Kari C Alvarez,Australia,Australia
348,20110503,20110515,20110510,11108,1,6,9,SO44581,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-05-03,2011-05-15,2011-05-10,2011,5,May,2,2011-May,3,Tuesday,2,FQ1,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 38",Kari C Alvarez,Australia,Australia
477,20121229,20130110,20130105,11006,1,6,9,SO51198,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,4.99,1.8663,3.1237,Water Bottle - 30 oz.,Janet G Alvarez,Australia,Australia
478,20121229,20130110,20130105,11006,1,6,9,SO51198,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,9.99,3.7363,6.2537,Mountain Bottle Cage,Janet G Alvarez,Australia,Australia
357,20121229,20130110,20130105,11006,2,6,9,SO51198,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 46",Janet G Alvarez,Australia,Australia
346,20110124,20110205,20110131,11006,1,6,9,SO43819,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-24,2011-02-05,2011-01-31,2011,1,January,1,2011-Jan,2,Monday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 44",Janet G Alvarez,Australia,Australia
347,20110109,20110121,20110116,11007,1,6,9,SO43743,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-09,2011-01-21,2011-01-16,2011,1,January,1,2011-Jan,1,Sunday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 48",Marco  Mehta,Australia,Australia
348,20110125,20110206,20110201,11008,1,6,9,SO43826,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-25,2011-02-06,2011-02-01,2011,1,January,1,2011-Jan,3,Tuesday,10,FQ4,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 38",Rob  Verhoff,Australia,Australia
350,20110127,20110208,20110203,11009,1,6,9,SO43837,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-27,2011-02-08,2011-02-03,2011,1,January,1,2011-Jan,5,Thursday,10,FQ4,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 44",Shannon C Carlson,Australia,Australia
346,20110114,20110126,20110121,11010,1,6,9,SO43765,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-14,2011-01-26,2011-01-21,2011,1,January,1,2011-Jan,6,Friday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 44",Jacquelyn C Suarez,Australia,Australia
344,20101230,20110111,20110106,11011,1,6,9,SO43705,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2010-12-30,2011-01-11,2011-01-06,2010,12,December,4,2010-Dec,5,Thursday,9,FQ3,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 38",Curtis  Lu,Australia,Australia
490,20121230,20130111,20130106,12130,1,100,8,SO51221,3,1,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,53.99,41.5723,12.4177,"Short-Sleeve Classic Jersey, L",Suzanne  Zhou,Germany,Germany
225,20121230,20130111,20130106,12130,1,100,8,SO51221,2,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,8.99,6.9223,2.0677,AWC Logo Cap,Suzanne  Zhou,Germany,Germany
390,20121230,20130111,20130106,12130,1,100,8,SO51221,1,1,1,1120.49,1120.49,0,0,713.0798,713.0798,1120.49,89.6392,28.0123,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,1120.49,713.0798,407.4102,"Road-550-W Yellow, 48",Suzanne  Zhou,Germany,Germany
352,20120508,20120520,20120515,12130,1,100,8,SO48137,1,1,1,2071.4196,2071.4196,0,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,2012-05-08,2012-05-20,2012-05-15,2012,5,May,2,2012-May,3,Tuesday,2,FQ1,2071.4196,1117.8559,953.5637,"Mountain-200 Silver, 38",Suzanne  Zhou,Germany,Germany
225,20121231,20130112,20130107,11402,1,100,7,SO51228,5,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,8.99,6.9223,2.0677,AWC Logo Cap,Kelli R Cai,France,France
355,20121231,20130112,20130107,11402,1,100,7,SO51228,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 42",Kelli R Cai,France,France
477,20121231,20130112,20130107,11402,1,100,7,SO51228,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,4.99,1.8663,3.1237,Water Bottle - 30 oz.,Kelli R Cai,France,France
478,20121231,20130112,20130107,11402,1,100,7,SO51228,3,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,9.99,3.7363,6.2537,Mountain Bottle Cage,Kelli R Cai,France,France
487,20121231,20130112,20130107,11402,1,100,7,SO51228,4,1,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,54.99,20.5663,34.4237,Hydration Pack - 70 oz.,Kelli R Cai,France,France
352,20121107,20121119,20121114,11402,1,100,7,SO50442,1,1,1,2071.4196,2071.4196,0,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,2012-11-07,2012-11-19,2012-11-14,2012,11,November,4,2012-Nov,4,Wednesday,8,FQ3,2071.4196,1117.8559,953.5637,"Mountain-200 Silver, 38",Kelli R Cai,France,France
225,20121231,20130112,20130107,12124,1,100,7,SO51245,3,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,8.99,6.9223,2.0677,AWC Logo Cap,Brandi D Gill,France,France
562,20121231,20130112,20130107,12124,1,100,7,SO51245,1,1,1,2384.07,2384.07,0,0,1481.9379,1481.9379,2384.07,190.7256,59.6018,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,2384.07,1481.9379,902.1321,"Touring-1000 Yellow, 50",Brandi D Gill,France,France
222,20121231,20130112,20130107,12124,1,100,7,SO51245,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,2012-12-31,2013-01-12,2013-01-07,2012,12,December,4,2012-Dec,2,Monday,9,FQ3,34.99,13.0863,21.9037,"Sport-100 Helmet, Blue",Brandi D Gill,France,France
314,20110129,20110210,20110205,12124,1,39,7,SO43919,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2011-01-29,2011-02-10,2011-02-05,2011,1,January,1,2011-Jan,7,Saturday,10,FQ4,3578.27,2171.2942,1406.9758,"Road-150 Red, 56",Brandi D Gill,France,France
225,20121230,20130111,20130106,11400,1,98,10,SO51206,4,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,8.99,6.9223,2.0677,AWC Logo Cap,Franklin  Raji,United Kingdom,United Kingdom
477,20121230,20130111,20130106,11400,1,98,10,SO51206,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,4.99,1.8663,3.1237,Water Bottle - 30 oz.,Franklin  Raji,United Kingdom,United Kingdom
478,20121230,20130111,20130106,11400,1,98,10,SO51206,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,9.99,3.7363,6.2537,Mountain Bottle Cage,Franklin  Raji,United Kingdom,United Kingdom
361,20121230,20130111,20130106,11400,1,98,10,SO51206,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,2294.99,1251.9813,1043.0087,"Mountain-200 Black, 42",Franklin  Raji,United Kingdom,United Kingdom
349,20110715,20110727,20110722,11400,1,98,10,SO45159,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-07-15,2011-07-27,2011-07-22,2011,7,July,3,2011-Jul,6,Friday,4,FQ2,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 42",Franklin  Raji,United Kingdom,United Kingdom
350,20110112,20110124,20110119,11017,1,6,9,SO43757,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-12,2011-01-24,2011-01-19,2011,1,January,1,2011-Jan,4,Wednesday,10,FQ4,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 44",Shannon  Wang,Australia,Australia
225,20121230,20130111,20130106,11117,1,6,9,SO51216,5,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,8.99,6.9223,2.0677,AWC Logo Cap,April  Deng,Australia,Australia
355,20121230,20130111,20130106,11117,1,6,9,SO51216,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,2319.99,1265.6195,1054.3705,"Mountain-200 Silver, 42",April  Deng,Australia,Australia
477,20121230,20130111,20130106,11117,1,6,9,SO51216,4,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,4.99,1.8663,3.1237,Water Bottle - 30 oz.,April  Deng,Australia,Australia
478,20121230,20130111,20130106,11117,1,6,9,SO51216,3,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,9.99,3.7363,6.2537,Mountain Bottle Cage,April  Deng,Australia,Australia
485,20121230,20130111,20130106,11117,1,6,9,SO51216,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,2012-12-30,2013-01-11,2013-01-06,2012,12,December,4,2012-Dec,1,Sunday,9,FQ3,21.98,8.2205,13.7595,Fender Set - Mountain,April  Deng,Australia,Australia
345,20110506,20110518,20110513,11117,1,6,9,SO44601,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-05-06,2011-05-18,2011-05-13,2011,5,May,2,2011-May,6,Friday,2,FQ1,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 42",April  Deng,Australia,Australia
345,20110117,20110129,20110124,11018,1,6,9,SO43778,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-17,2011-01-29,2011-01-24,2011,1,January,1,2011-Jan,2,Monday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 42",Clarence D Rai,Australia,Australia
225,20121229,20130110,20130105,11448,1,6,9,SO51197,4,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,8.99,6.9223,2.0677,AWC Logo Cap,Kyle  Patterson,Australia,Australia
477,20121229,20130110,20130105,11448,1,6,9,SO51197,3,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,4.99,1.8663,3.1237,Water Bottle - 30 oz.,Kyle  Patterson,Australia,Australia
478,20121229,20130110,20130105,11448,1,6,9,SO51197,2,1,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,9.99,3.7363,6.2537,Mountain Bottle Cage,Kyle  Patterson,Australia,Australia
363,20121229,20130110,20130105,11448,1,6,9,SO51197,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,2294.99,1251.9813,1043.0087,"Mountain-200 Black, 46",Kyle  Patterson,Australia,Australia
348,20110616,20110628,20110623,11448,1,6,9,SO44927,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-06-16,2011-06-28,2011-06-23,2011,6,June,2,2011-Jun,5,Thursday,3,FQ1,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 38",Kyle  Patterson,Australia,Australia
485,20121229,20130110,20130105,11020,1,19,6,SO51193,2,1,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,21.98,8.2205,13.7595,Fender Set - Mountain,Jordan C King,Canada,Canada
363,20121229,20130110,20130105,11020,2,19,6,SO51193,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,,,2012-12-29,2013-01-10,2013-01-05,2012,12,December,4,2012-Dec,7,Saturday,9,FQ3,2294.99,1251.9813,1043.0087,"Mountain-200 Black, 46",Jordan C King,Canada,Canada
350,20110106,20110118,20110113,11025,1,6,9,SO43732,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2011-01-06,2011-01-18,2011-01-13,2011,1,January,1,2011-Jan,5,Thursday,10,FQ4,3374.99,1898.0944,1476.8956,"Mountain-100 Black, 44",Alejandro  Beck,Australia,Australia
346,20110123,20110204,20110130,11026,1,6,9,SO43811,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2011-01-23,2011-02-04,2011-01-30,2011,1,January,1,2011-Jan,1,Sunday,10,FQ4,3399.99,1912.1544,1487.8356,"Mountain-100 Silver, 44",Harold  Sai,Australia,Australia
540,20121228,20130109,20130104,12132,1,100,7,SO51181,3,1,1,32.6,32.6,0,0,12.1924,12.1924,32.6,2.608,0.815,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,32.6,12.1924,20.4076,HL Road Tire,Kaitlyn J Henderson,France,France
529,20121228,20130109,20130104,12132,1,100,7,SO51181,2,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,3.99,1.4923,2.4977,Road Tire Tube,Kaitlyn J Henderson,France,France
214,20121228,20130109,20130104,12132,1,100,7,SO51181,4,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,2012-12-28,2013-01-09,2013-01-04,2012,12,December,4,2012-Dec,6,Friday,9,FQ3,34.99,13.0863,21.9037,"Sport-100 Helmet, Red",Kaitlyn J Henderson,France,France
